Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-12-12T08:38:19.579Z","Included","auto","No","0","22332","61440","797","84569","0.05"
"2025-12-12T08:25:50.894Z","Included","auto","No","0","63848","230784","2638","297270","0.15"
"2025-12-12T08:20:25.950Z","Included","auto","No","44384","0","601600","8623","654607","0.26"
"2025-12-12T08:17:10.107Z","Included","auto","No","0","36758","92160","729","129647","0.07"
"2025-12-12T08:12:53.668Z","Included","auto","No","9136","0","211968","2050","223154","0.08"
"2025-12-12T08:06:42.709Z","Included","auto","No","4540","0","151552","1254","157346","0.05"
"2025-12-12T07:53:26.536Z","Included","auto","No","31348","0","323584","4277","359209","0.15"
"2025-12-12T07:26:46.819Z","Included","auto","No","15385","0","113664","4517","133566","0.07"
"2025-12-12T06:31:18.618Z","Included","auto","No","1179","0","12288","836","14303","0.01"
"2025-12-12T06:27:20.960Z","Included","auto","No","10193","1890","266752","4915","283750","0.11"
"2025-12-12T06:21:50.687Z","Included","auto","No","3683","0","43008","399","47090","0.02"
"2025-12-12T06:18:17.351Z","Included","auto","No","14656","0","160256","3547","178459","0.08"
"2025-12-12T06:15:56.568Z","Included","auto","No","18953","98","111616","3249","133916","0.07"
"2025-12-12T03:49:07.156Z","Included","auto","No","24017","0","185856","3036","212909","0.09"
"2025-12-12T03:40:35.396Z","Included","auto","No","16656","0","134656","2236","153548","0.07"
"2025-12-12T03:40:23.867Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-12-12T03:31:44.428Z","Included","auto","No","5873","0","236544","1928","244345","0.08"
"2025-12-12T03:25:28.200Z","Included","auto","No","9286","0","510976","2828","523090","0.16"
"2025-12-12T03:21:41.609Z","Included","auto","No","40235","0","184320","2901","227456","0.11"
"2025-12-12T03:18:49.173Z","Included","auto","No","3366","0","60928","104","64398","0.02"
"2025-12-12T03:09:22.671Z","Included","auto","No","21537","0","201216","4059","226812","0.10"
"2025-12-12T03:02:40.159Z","Included","auto","No","18484","0","115712","2127","136323","0.06"
"2025-12-12T02:40:58.003Z","Included","auto","No","10635","0","565248","1965","577848","0.17"
"2025-12-12T02:35:34.614Z","Included","auto","No","11569","0","403456","1953","416978","0.13"
"2025-12-12T02:22:12.747Z","Included","auto","No","55737","0","1023488","5569","1084794","0.36"
"2025-12-12T02:12:03.839Z","Included","auto","No","22411","0","142848","2373","167632","0.08"
"2025-12-12T01:50:58.927Z","Included","auto","No","8252","0","254976","1593","264821","0.08"
"2025-12-12T01:41:33.838Z","Included","auto","No","36120","0","499200","6012","541332","0.21"
"2025-12-12T01:16:25.091Z","Included","auto","No","45388","0","716288","6658","768334","0.28"
"2025-12-11T12:06:08.205Z","Included","auto","No","0","53057","6784","92","59933","0.07"
"2025-12-11T11:58:30.061Z","Included","auto","No","0","116411","1066496","13090","1195997","0.49"
"2025-12-11T11:57:19.071Z","Included","auto","No","0","23206","98304","410","121920","0.06"
"2025-12-11T11:54:42.871Z","Included","auto","No","0","59507","336640","5296","401443","0.19"
"2025-12-11T11:53:23.564Z","Included","auto","No","0","19428","61568","1415","82411","0.05"
"2025-12-11T11:47:19.274Z","Included","auto","No","0","59033","472192","15288","546513","0.28"
"2025-12-11T11:30:49.516Z","Included","auto","No","0","6872","58240","1070","66182","0.03"
"2025-12-11T11:24:25.030Z","Included","auto","No","0","42331","201600","8456","252387","0.15"
"2025-12-11T11:23:25.715Z","Included","auto","No","0","16408","23808","259","40475","0.03"
"2025-12-11T11:04:41.739Z","Included","claude-4.5-opus-high-thinking","No","16949","56","191373","5313","213691","0.33"
"2025-12-11T07:49:03.977Z","Included","auto","No","0","26844","15232","885","42961","0.04"
"2025-12-11T07:48:10.540Z","Included","auto","No","0","5869","15744","279","21892","0.01"
"2025-12-11T07:05:19.165Z","Included","auto","No","39523","0","433152","5463","478138","0.19"
"2025-12-11T07:03:55.192Z","Included","auto","No","0","1434","10112","162","11708","0.01"
"2025-12-11T07:02:40.642Z","Included","auto","No","25342","0","37376","1337","64055","0.05"
"2025-12-10T08:19:13.472Z","Included","auto","No","0","37770","724992","19120","781882","0.34"
"2025-12-10T08:17:36.032Z","Included","auto","No","0","4510","30080","152","34742","0.01"
